"res_site_id","site_id","descriptor_type_id","descriptor_value","last_update"
"1","1","2","http://andrewsforest.oregonstate.edu/pubs/biblio.cfm?topnav=41
http://andrewsforest.oregonstate.edu/research/component/hydro/summary.cfm?sum=pubs2002&topnav=62","2013-02-04T14:35:32.146Z"
"1","1","3","http://andrewsforest.oregonstate.edu/data/abstract.cfm?dbcode=HF004&topnav=135","2013-02-04T14:35:32.180Z"
"1","1","4","http://andrewsforest.oregonstate.edu/data/abstract.cfm?dbcode=HF004&topnav=135","2013-02-04T14:35:32.180Z"
"1","1","5","http://andrewsforest.oregonstate.edu/about/site/map.cfm?topnav=157","2013-02-04T14:35:32.193Z"
"1","1","6","http://andrewsforest.oregonstate.edu/data/abstract.cfm?dbcode=MS001&topnav=135","2013-02-04T14:35:32.146Z"
"1","1","188","44.282118","2013-02-04T14:35:32.146Z"
"1","1","189","-122.260544","2013-02-04T14:35:32.130Z"
"1","1","190","44.197854","2013-02-04T14:35:32.163Z"
"1","1","191","-122.099675","2013-02-04T14:35:32.180Z"
"1","1","230","http://lterweb.forestry.oregonstate.edu/fsdbdata/reaper/and_clim.txt","2013-02-04T14:35:32.180Z"
"1","1","231","http://andrewsforest.oregonstate.edu/webmast/and_hydro.txt","2013-02-04T14:35:32.180Z"
"1","1","232","http://gce-lter.marsci.uga.edu/harvest/usgs/and_lter.txt","2013-02-04T14:35:32.193Z"
"1","1","233","http://andrewsforest.oregonstate.edu","2013-02-04T14:35:32.163Z"
"2","2","2","","2019-04-29T11:57:36.740Z"
"2","2","3","","2019-04-29T11:57:36.710Z"
"2","2","4","","2019-04-29T11:57:36.693Z"
"2","2","5","","2019-04-29T11:57:36.740Z"
"2","2","6","https://toolik.alaska.edu/edc/index.php","2019-04-29T11:57:36.723Z"
"2","2","188","68.628228973","2019-04-29T11:57:36.710Z"
"2","2","189","-149.596001285","2019-04-29T11:57:36.710Z"
"2","2","190","68.628228973","2019-04-29T11:57:36.740Z"
"2","2","191","-149.596001285","2019-04-29T11:57:36.710Z"
"2","2","230","https://arc-lter.ecosystems.mbl.edu/sites/default/files/data/arcclimatedb.dat","2019-04-29T11:57:36.710Z"
"2","2","231"," ","2019-04-29T11:57:36.710Z"
"2","2","232","http://gce-lter.marsci.uga.edu/harvest/usgs/arc_lter.txt","2019-04-29T11:57:36.676Z"
"2","2","233","https://arc-lter.ecosystems.mbl.edu/","2019-04-29T11:57:36.710Z"
"3","3","2","http://beslter.org/searchpubs_all_rm.asp","2007-12-12T12:38:13.836Z"
"3","3","3","http://beslter.org/frame4-page_3f.html","2007-12-12T12:38:13.853Z"
"3","3","4","http://beslter.org/frame4-stuff.html","2007-12-12T12:38:13.853Z"
"3","3","5","http://beslter.org/frame7-page_4.html","2007-12-12T12:38:13.870Z"
"3","3","6","http://beslter.org/frame4-page_3c.html","2007-12-12T12:38:13.853Z"
"3","3","188","","2007-12-12T12:38:13.836Z"
"3","3","189","","2007-12-12T12:38:13.836Z"
"3","3","190","","2007-12-12T12:38:13.853Z"
"3","3","191","","2007-12-12T12:38:13.853Z"
"3","3","230","http://beslter.org/climdb/bes_clim.txt","2007-12-12T12:38:13.853Z"
"3","3","231","","2007-12-12T12:38:13.853Z"
"3","3","232","http://gce-lter.marsci.uga.edu/harvest/usgs/bes_lter.txt","2007-12-12T12:38:13.870Z"
"3","3","233","http://www.beslter.org/","2007-12-12T12:38:13.853Z"
"4","4","2"," ","2018-10-09T11:09:29.856Z"
"4","4","3"," ","2018-10-09T11:09:29.870Z"
"4","4","4"," ","2018-10-09T11:09:29.870Z"
"4","4","5","http://www.lter.uaf.edu/bnz_cpcrw.cfm","2018-10-09T11:09:29.870Z"
"4","4","6","http://www.lter.uaf.edu/","2018-10-09T11:09:29.856Z"
"4","4","188","64.77376","2018-10-09T11:09:29.856Z"
"4","4","189","-148.34713","2018-10-09T11:09:29.840Z"
"4","4","190","64.68825","2018-10-09T11:09:29.856Z"
"4","4","191","-148.10477","2018-10-09T11:09:29.870Z"
"4","4","230","http://www.lter.uaf.edu/climdb/NEW_bnz_climate.txt","2018-10-09T11:09:29.870Z"
"4","4","231","http://www.lter.uaf.edu/climdb/NEW_bnz_climate.txt","2018-10-09T11:09:29.870Z"
"4","4","232","http://gce-lter.marsci.uga.edu/harvest/usgs/bnz_lter.txt","2018-10-09T11:09:29.870Z"
"4","4","233","http://www.lter.uaf.edu/","2018-10-09T11:09:29.856Z"
"5","42","2"," ","2016-08-23T10:39:14.730Z"
"5","42","3"," ","2016-08-23T10:39:14.730Z"
"5","42","4"," ","2016-08-23T10:39:14.743Z"
"5","42","5"," ","2016-08-23T10:39:14.743Z"
"5","42","6"," ","2016-08-23T10:39:14.730Z"
"5","42","188","33.838010","2016-08-23T10:39:14.713Z"
"5","42","189","-112.794316","2016-08-23T10:39:14.696Z"
"5","42","190","33.198342","2016-08-23T10:39:14.730Z"
"5","42","191","-111.566698","2016-08-23T10:39:14.730Z"
"5","42","230","http://dataentry.gios.asu.edu/climate/climDBupload.txt","2016-08-23T10:39:14.730Z"
"5","42","231"," ","2016-08-23T10:39:14.730Z"
"5","42","232","http://gce-lter.marsci.uga.edu/harvest/usgs/cap_lter.txt","2016-08-23T10:39:14.743Z"
"5","42","233","https://sustainability.asu.edu/caplter/","2016-08-23T10:39:14.730Z"
"6","5","2","http://www.fs.fed.us/psw/topics/water/caspar/caspubs.html","2005-12-23T09:44:23.730Z"
"6","5","3","http://www.fs.fed.us/psw/topics/water/caspar/","2005-12-23T09:44:23.746Z"
"6","5","4","http://www.fs.fed.us/psw/publications/documents/gtr-168/01henry.pdf","2005-12-23T09:44:23.790Z"
"6","5","5","http://www.fs.fed.us/psw/topics/water/caspar/images/all_caspar_topo.jpg","2005-12-23T09:44:23.806Z"
"6","5","6","http://www.fs.fed.us/psw/topics/water/caspar/CasparGagedWtshds.pdf","2005-12-23T09:44:23.746Z"
"6","5","188","39.37936","2005-12-23T09:44:23.730Z"
"6","5","189","-123.75925","2005-12-23T09:44:23.700Z"
"6","5","190","39.32693","2005-12-23T09:44:23.746Z"
"6","5","191","-123.70192","2005-12-23T09:44:23.760Z"
"6","5","230","http://www.fs.fed.us/psw/topics/water/caspar/hydrodb/CAS_hydrodb.txt","2005-12-23T09:44:23.746Z"
"6","5","231","http://www.fs.fed.us/psw/topics/water/caspar/hydrodb/CAS_hydrodb.txt","2005-12-23T09:44:23.760Z"
"6","5","232","http://gce-lter.marsci.uga.edu/harvest/usgs/cas_lter.txt","2005-12-23T09:44:23.806Z"
"6","5","233","http://www.fs.fed.us/psw/topics/water/caspar","2005-12-23T09:44:23.746Z"
"7","6","2","","2011-09-21T09:30:32.386Z"
"7","6","3","","2011-09-21T09:30:32.386Z"
