"parent_res_site_id","site_id","res_site_parent_id","res_site_code","res_site_name","child1_res_site_id","site_id","res_site_parent_id","res_site_code","res_site_name","child2_res_site_id","site_id","res_site_parent_id","res_site_code","res_site_name","child3_res_site_id","site_id","res_site_parent_id","res_site_code","res_site_name"
295,41,35,"046161",NEWHALL 5 NW,,,,,,,,,,,,,,,
296,41,35,"046162",NEWHALL S FC32CE,,,,,,,,,,,,,,,
297,41,35,"046399",OJAI,,,,,,,,,,,,,,,
298,41,35,"046569",OXNARD,,,,,,,,,,,,,,,
299,41,35,"046572",OXNARD WSFO,,,,,,,,,,,,,,,
300,41,35,"046940",PIRU 2 ESE,,,,,,,,,,,,,,,
301,41,35,"047735",SANDBERG,,,,,,,,,,,,,,,
302,41,35,"047902",SANTA BARBARA,,,,,,,,,,,,,,,
303,41,35,"047905",SANTA BARBARA MUNICIPAL AP,,,,,,,,,,,,,,,
304,41,35,"047957",SANTA PAULA,,,,,,,,,,,,,,,
305,41,35,"048014",SAUGUS POWER PLANT 1,,,,,,,,,,,,,,,
306,41,35,"049285",VENTURA,,,,,,,,,,,,,,,
390,25,383,"05357215","ALLEQUASH CREEK AT CTH M NR BOULDER JUNCTION, WI (USGS)",,,,,,,,,,,,,,,
394,25,387,"05357225","STEVENSON CREEK AT CTH M NR BOULDER JUNCTION, WI (USGS)",,,,,,,,,,,,,,,
391,25,384,"05357230","NORTH CREEK @ TROUT LAKE NR BOULDER JUNCTION, WI (USGS)",,,,,,,,,,,,,,,
395,25,388,"05357245","TROUT RIVER @ TROUT LAKE NR BOULDER JUNCTION, WI (USGS)",,,,,,,,,,,,,,,
396,25,389,"05427718","YAHARA RIVER AT WINDSOR, WI (USGS)",,,,,,,,,,,,,,,
392,25,385,"05427948","PHEASANT BRANCH AT MIDDLETON, WI (USGS)",,,,,,,,,,,,,,,
393,25,386,"05427965","SPRING HARBOR STORM SEWER AT MADISON, WI (USGS)",,,,,,,,,,,,,,,
423,19,422,"06879650",Kings Creek (USGS),,,,,,,,,,,,,,,
734,42,733,"09498500","SALT RIVER NEAR ROOSEVELT, AZ",,,,,,,,,,,,,,,
733,42,5,"09498500",SALT RIVER NEAR ROOSEVELT,734,42,733,"09498500","SALT RIVER NEAR ROOSEVELT, AZ",,,,,,,,,,
736,42,735,"09499000","TONTO CREEK ABV GUN CREEK, NEAR ROOSEVELT, AZ",,,,,,,,,,,,,,,
735,42,5,"09499000","TONTO CREEK ABV GUN CREEK, NEAR ROOSEVELT",736,42,735,"09499000","TONTO CREEK ABV GUN CREEK, NEAR ROOSEVELT, AZ",,,,,,,,,,
746,42,745,"09502000","SALT RIVER BLW STEWART MTN DAM, ABOVE VERDE RIVER",,,,,,,,,,,,,,,
745,42,5,"09502000 ","SALT RIVER BLW STEWART MTN DAM, ABOVE VERDE RIVER",746,42,745,"09502000","SALT RIVER BLW STEWART MTN DAM, ABOVE VERDE RIVER",,,,,,,,,,
740,42,739,"09508500",VERDE RIVER ABV HORSESHOE DAM ,,,,,,,,,,,,,,,
739,42,5,"09508500",VERDE RIVER ABV HORSESHOE DAM ,740,42,739,"09508500",VERDE RIVER ABV HORSESHOE DAM ,,,,,,,,,,
742,42,741,"09510000",VERDE RIVER BLW BARTLETT DAM,,,,,,,,,,,,,,,
741,42,5,"09510000 ",VERDE RIVER BLW BARTLETT DAM,742,42,741,"09510000",VERDE RIVER BLW BARTLETT DAM,,,,,,,,,,
738,42,737,"09510200",SYCAMORE CREEK,,,,,,,,,,,,,,,
737,42,5,"09510200",SYCAMORE CREEK,738,42,737,"09510200",SYCAMORE CREEK,,,,,,,,,,
744,42,743,"09511300","VERDE RIVER NR SCOTTSDALE, BELOW SYCAMORE CREEK ",,,,,,,,,,,,,,,
743,42,5,"09511300","VERDE RIVER NR SCOTTSDALE, BELOW SYCAMORE CREEK ",744,42,743,"09511300","VERDE RIVER NR SCOTTSDALE, BELOW SYCAMORE CREEK ",,,,,,,,,,
256,42,5,"1",Tucson,,,,,,,,,,,,,,,
265,42,5,"10",U of A Citrus Farm,,,,,,,,,,,,,,,
266,42,5,"11",Litchfield Park,,,,,,,,,,,,,,,
68,33,37,"11        ",Meteorological Station 11                         ,,,,,,,,,,,,,,,
372,41,330,"11107745",SANTA CLARA R AB RR STATION NR LANG CA (USGS),,,,,,,,,,,,,,,
373,41,330,"11108000",SANTA CLARA R NR SAUGUS CA (USGS),,,,,,,,,,,,,,,
