"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"BaismanRun","Baisman Run at Broadmoor, MD (USGS 1583580)","gs_elev","Elevation","","BES","WGS84","mean sea level","","","",""
"BaismanRun","Baisman Run at Broadmoor, MD (USGS 1583580)","gs_lat","Latitude","","BES","WGS84","mean sea level","","","",""
"BaismanRun","Baisman Run at Broadmoor, MD (USGS 1583580)","gs_long","Longitude","","BES","WGS84","mean sea level","","","",""
"BWI","BWI Airport","ms_elev","Elevation","48","BES","WGS84","mean sea level","","","",""
"BWI","BWI Airport","ms_lat","Latitude","39.1733 (From Google Earth)","BES","WGS84","mean sea level","","","",""
"BWI","BWI Airport","ms_long","Longitude","-76.6841 (From Google Earth)","BES","WGS84","mean sea level","","","",""
"CarrollPk","Gwynns Falls at Rt 1/Carroll Park (USGS 01589352)","gs_elev","Elevation","","BES","WGS84","mean sea level","","","",""
"CarrollPk","Gwynns Falls at Rt 1/Carroll Park (USGS 01589352)","gs_lat","Latitude","","BES","WGS84","mean sea level","","","",""
"CarrollPk","Gwynns Falls at Rt 1/Carroll Park (USGS 01589352)","gs_long","Longitude","","BES","WGS84","mean sea level","","","",""
"DeadRun","Dead Run at Franklintown (USGS 01589330)","gs_elev","Elevation","","BES","WGS84","mean sea level","","","",""
"DeadRun","Dead Run at Franklintown (USGS 01589330)","gs_lat","Latitude","","BES","WGS84","mean sea level","","","",""
"DeadRun","Dead Run at Franklintown (USGS 01589330)","gs_long","Longitude","","BES","WGS84","mean sea level","","","",""
"DMH","Inner Harbor","ms_elev","Elevation","6.1","BES","WGS84","mean sea level","","","",""
"DMH","Inner Harbor","ms_lat","Latitude","39.2815 (From Google Earth)","BES","WGS84","mean sea level","","","",""
"DMH","Inner Harbor","ms_long","Longitude","-76.6112 (From Google Earth)","BES","WGS84","mean sea level","","","",""
"Glyndon","Gwynns Falls at Glyndon (USGS 01589180 )","gs_elev","Elevation","","BES","WGS84","mean sea level","","","",""
"Glyndon","Gwynns Falls at Glyndon (USGS 01589180 )","gs_lat","Latitude","","BES","WGS84","mean sea level","","","",""
"Glyndon","Gwynns Falls at Glyndon (USGS 01589180 )","gs_long","Longitude","","BES","WGS84","mean sea level","","","",""
"Gwynnbrook","Gwynns Falls at Gwynnbrook/Delight (USGS 01589197)","gs_elev","Elevation","","BES","WGS84","mean sea level","","","",""
"Gwynnbrook","Gwynns Falls at Gwynnbrook/Delight (USGS 01589197)","gs_lat","Latitude","","BES","WGS84","mean sea level","","","",""
"Gwynnbrook","Gwynns Falls at Gwynnbrook/Delight (USGS 01589197)","gs_long","Longitude","","BES","WGS84","mean sea level","","","",""
"GwynnsRun","Gwynns Run at Gwynns Falls (USGS 158935180)","gs_elev","Elevation","","BES","WGS84","mean sea level","","","",""
"GwynnsRun","Gwynns Run at Gwynns Falls (USGS 158935180)","gs_lat","Latitude","","BES","WGS84","mean sea level","","","",""
"GwynnsRun","Gwynns Run at Gwynns Falls (USGS 158935180)","gs_long","Longitude","","BES","WGS84","mean sea level","","","",""
"Mcdonogh1","McDonogh Primary","ms_elev","Elevation","157 m","BES","WGS84","mean sea level","","","",""
"Mcdonogh1","McDonogh Primary","ms_lat","Latitude","+39.3957","BES","WGS84","mean sea level","","","",""
"Mcdonogh1","McDonogh Primary","ms_long","Longitude","-76.7713","BES","WGS84","mean sea level","","","",""
"McDonough","McDonough School (USGS 01589238)","gs_elev","Elevation","","BES","WGS84","mean sea level","","","",""
"McDonough","McDonough School (USGS 01589238)","gs_lat","Latitude","","BES","WGS84","mean sea level","","","",""
"McDonough","McDonough School (USGS 01589238)","gs_long","Longitude","","BES","WGS84","mean sea level","","","",""
"PondBranch","Pond Branch  (USGS 01583570)","gs_elev","Elevation","","BES","WGS84","mean sea level","","","",""
"PondBranch","Pond Branch  (USGS 01583570)","gs_lat","Latitude","","BES","WGS84","mean sea level","","","",""
"PondBranch","Pond Branch  (USGS 01583570)","gs_long","Longitude","","BES","WGS84","mean sea level","","","",""
"RognelHgts","Rognel Heights storm sewer outfall at Baltimore (USGS 1589340)","gs_elev","Elevation","","BES","WGS84","mean sea level","","","",""
"RognelHgts","Rognel Heights storm sewer outfall at Baltimore (USGS 1589340)","gs_lat","Latitude","","BES","WGS84","mean sea level","","","",""
"RognelHgts","Rognel Heights storm sewer outfall at Baltimore (USGS 1589340)","gs_long","Longitude","","BES","WGS84","mean sea level","","","",""
"VillaNova","Gwynns Falls at Villa Nova (USGS 01589300)","gs_elev","Elevation","","BES","WGS84","mean sea level","","","",""
"VillaNova","Gwynns Falls at Villa Nova (USGS 01589300)","gs_lat","Latitude","","BES","WGS84","mean sea level","","","",""
"VillaNova","Gwynns Falls at Villa Nova (USGS 01589300)","gs_long","Longitude","","BES","WGS84","mean sea level","","","",""
