"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"046161","NEWHALL 5 NW","ms_elev","Elevation","538.0","SBC","WGS84","mean sea level","","","",""
"046161","NEWHALL 5 NW","ms_lat","Latitude","34.4000","SBC","WGS84","mean sea level","","","",""
"046161","NEWHALL 5 NW","ms_long","Longitude","-118.6000","SBC","WGS84","mean sea level","","","",""
"046162","NEWHALL S FC32CE","ms_elev","Elevation","378.9","SBC","WGS84","mean sea level","","","",""
"046162","NEWHALL S FC32CE","ms_lat","Latitude","34.383333","SBC","WGS84","mean sea level","","","",""
"046162","NEWHALL S FC32CE","ms_long","Longitude","-118.533333","SBC","WGS84","mean sea level","","","",""
"046399","OJAI","ms_elev","Elevation","216.4","SBC","WGS84","mean sea level","","","",""
"046399","OJAI","ms_lat","Latitude","34.466667","SBC","WGS84","mean sea level","","","",""
"046399","OJAI","ms_long","Longitude","-119.25","SBC","WGS84","mean sea level","","","",""
"046569","OXNARD","ms_elev","Elevation","14.9","SBC","WGS84","mean sea level","","","",""
"046569","OXNARD","ms_lat","Latitude","34.2","SBC","WGS84","mean sea level","","","",""
"046569","OXNARD","ms_long","Longitude","-119.183333","SBC","WGS84","mean sea level","","","",""
"046572","OXNARD WSFO","ms_elev","Elevation","19.2","SBC","WGS84","mean sea level","","","",""
"046572","OXNARD WSFO","ms_lat","Latitude","34.216667","SBC","WGS84","mean sea level","","","",""
"046572","OXNARD WSFO","ms_long","Longitude","-119.133333","SBC","WGS84","mean sea level","","","",""
"046940","PIRU 2 ESE","ms_elev","Elevation","222.5","SBC","WGS84","mean sea level","","","",""
"046940","PIRU 2 ESE","ms_lat","Latitude","34.400000","SBC","WGS84","mean sea level","","","",""
"046940","PIRU 2 ESE","ms_long","Longitude","-118.750000","SBC","WGS84","mean sea level","","","",""
"047735","SANDBERG","ms_elev","Elevation","1374.6","SBC","WGS84","mean sea level","","","",""
"047735","SANDBERG","ms_lat","Latitude","34.750000","SBC","WGS84","mean sea level","","","",""
"047735","SANDBERG","ms_long","Longitude","-118.716667","SBC","WGS84","mean sea level","","","",""
"047902","SANTA BARBARA","ms_elev","Elevation","1.5","SBC","WGS84","mean sea level","","","",""
"047902","SANTA BARBARA","ms_lat","Latitude","34.416667","SBC","WGS84","mean sea level","","","",""
"047902","SANTA BARBARA","ms_long","Longitude","-119.683333","SBC","WGS84","mean sea level","","","",""
"047905","SANTA BARBARA MUNICIPAL AP","ms_elev","Elevation","2.7","SBC","WGS84","mean sea level","","","",""
"047905","SANTA BARBARA MUNICIPAL AP","ms_lat","Latitude","34.433333","SBC","WGS84","mean sea level","","","",""
"047905","SANTA BARBARA MUNICIPAL AP","ms_long","Longitude","-119.850000","SBC","WGS84","mean sea level","","","",""
"047957","SANTA PAULA","ms_elev","Elevation","72.2","SBC","WGS84","mean sea level","","","",""
"047957","SANTA PAULA","ms_lat","Latitude","34.316667","SBC","WGS84","mean sea level","","","",""
"047957","SANTA PAULA","ms_long","Longitude","-119.133333","SBC","WGS84","mean sea level","","","",""
"048014","SAUGUS POWER PLANT 1","ms_elev","Elevation","641.6","SBC","WGS84","mean sea level","","","",""
"048014","SAUGUS POWER PLANT 1","ms_lat","Latitude","34.583333","SBC","WGS84","mean sea level","","","",""
"048014","SAUGUS POWER PLANT 1","ms_long","Longitude","-118.450000","SBC","WGS84","mean sea level","","","",""
"049285","VENTURA","ms_elev","Elevation","32","SBC","WGS84","mean sea level","","","",""
"049285","VENTURA","ms_lat","Latitude","34.283333","SBC","WGS84","mean sea level","","","",""
"049285","VENTURA","ms_long","Longitude","-119.3000000","SBC","WGS84","mean sea level","","","",""
"11114000","SANTA CLARA RIVER AT MONTALVO CA (USGS)","gs_elev","Elevation","","SBC","WGS84","mean sea level","","","",""
"11114000","SANTA CLARA RIVER AT MONTALVO CA (USGS)","gs_lat","Latitude","","SBC","WGS84","mean sea level","","","",""
"11114000","SANTA CLARA RIVER AT MONTALVO CA (USGS)","gs_long","Longitude","","SBC","WGS84","mean sea level","","","",""
"11118500","VENTURA R NR VENTURA (USGS)","gs_elev","Elevation","","SBC","WGS84","mean sea level","","","",""
"11118500","VENTURA R NR VENTURA (USGS)","gs_lat","Latitude","","SBC","WGS84","mean sea level","","","",""
"11118500","VENTURA R NR VENTURA (USGS)","gs_long","Longitude","","SBC","WGS84","mean sea level","","","",""
"11118501","VENTURA R NR VENTURA+ DIV. CA (USGS)","gs_elev","Elevation","","SBC","WGS84","mean sea level","","","",""
"11118501","VENTURA R NR VENTURA+ DIV. CA (USGS)","gs_lat","Latitude","","SBC","WGS84","mean sea level","","","",""
"11118501","VENTURA R NR VENTURA+ DIV. CA (USGS)","gs_long","Longitude","","SBC","WGS84","mean sea level","","","",""
"11119500","CARPINTERIA C NR CARPINTERIA CA (USGS)","gs_elev","Elevation","","SBC","WGS84","mean sea level","","","",""
"11119500","CARPINTERIA C NR CARPINTERIA CA (USGS)","gs_lat","Latitude","","SBC","WGS84","mean sea level","","","",""
"11119500","CARPINTERIA C NR CARPINTERIA CA (USGS)","gs_long","Longitude","","SBC","WGS84","mean sea level","","","",""
