"res_site_code","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"09498500","SALT RIVER NEAR ROOSEVELT, AZ","gs_elev","Elevation"," 663.59","CAP","WGS84","mean sea level","","","",""
"09498500","SALT RIVER NEAR ROOSEVELT, AZ","gs_lat","Latitude","33.6194","CAP","WGS84","mean sea level","","","",""
"09498500","SALT RIVER NEAR ROOSEVELT, AZ","gs_long","Longitude","-110.9208","CAP","WGS84","mean sea level","","","",""
"09499000","TONTO CREEK ABV GUN CREEK, NEAR ROOSEVELT, AZ","gs_elev","Elevation","769.05","CAP","WGS84","mean sea level","","","",""
"09499000","TONTO CREEK ABV GUN CREEK, NEAR ROOSEVELT, AZ","gs_lat","Latitude","33.9800","CAP","WGS84","mean sea level","","","",""
"09499000","TONTO CREEK ABV GUN CREEK, NEAR ROOSEVELT, AZ","gs_long","Longitude","-111.3028","CAP","WGS84","mean sea level","","","",""
"09502000","SALT RIVER BLW STEWART MTN DAM, ABOVE VERDE RIVER","gs_elev","Elevation","417.58","CAP","WGS84","mean sea level","","","",""
"09502000","SALT RIVER BLW STEWART MTN DAM, ABOVE VERDE RIVER","gs_lat","Latitude","33.5528","CAP","WGS84","mean sea level","","","",""
"09502000","SALT RIVER BLW STEWART MTN DAM, ABOVE VERDE RIVER","gs_long","Longitude","-111.5758","CAP","WGS84","mean sea level","","","",""
"09508500","VERDE RIVER ABV HORSESHOE DAM ","gs_elev","Elevation","618.44","CAP","WGS84","mean sea level","","","",""
"09508500","VERDE RIVER ABV HORSESHOE DAM ","gs_lat","Latitude","34.0731","CAP","WGS84","mean sea level","","","",""
"09508500","VERDE RIVER ABV HORSESHOE DAM ","gs_long","Longitude","-111.7156","CAP","WGS84","mean sea level","","","",""
"09510000","VERDE RIVER BLW BARTLETT DAM","gs_elev","Elevation","478.64","CAP","WGS84","mean sea level","","","",""
