"res_site_code","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"S2-ALL","Total runoff of South Unit Watershed S2 weir","gs_elev","Elevation","420.13","MAR","WGS84","mean sea level","","","",""
"S2-ALL","Total runoff of South Unit Watershed S2 weir","gs_lat","Latitude","47.51402","MAR","WGS84","mean sea level","","","",""
"S2-ALL","Total runoff of South Unit Watershed S2 weir","gs_long","Longitude","-93.47250","MAR","WGS84","mean sea level","","","",""
"S2-BOG","Bog runoff component of South Unit Watershed S2 weir","gs_elev","Elevation","","MAR","WGS84","mean sea level","","","",""
"S2-BOG","Bog runoff component of South Unit Watershed S2 weir","gs_lat","Latitude","","MAR","WGS84","mean sea level","","","",""
"S2-BOG","Bog runoff component of South Unit Watershed S2 weir","gs_long","Longitude","","MAR","WGS84","mean sea level","","","",""
"S2-BOG-MS","South Unit, Bog Site, Watershed S2","ms_elev","Elevation","422.2","MAR","WGS84","mean sea level","","","",""
"S2-BOG-MS","South Unit, Bog Site, Watershed S2","ms_lat","Latitude","47.51402","MAR","WGS84","mean sea level","","","",""
"S2-BOG-MS","South Unit, Bog Site, Watershed S2","ms_long","Longitude","-93.4692","MAR","WGS84","mean sea level","","","",""
"S2-UP-MS","South Unit, Upland, Watershed S2","ms_elev","Elevation","426","MAR","WGS84","mean sea level","","","",""
"S2-UP-MS","South Unit, Upland, Watershed S2","ms_lat","Latitude","47.51523","MAR","WGS84","mean sea level","","","",""
"S2-UP-MS","South Unit, Upland, Watershed S2","ms_long","Longitude","-93.47077","MAR","WGS84","mean sea level","","","",""
"S4-ALL","Total runoff of North Unit Watershed S4 weirs (sum of S4-N and S4-S weirs)","gs_elev","Elevation","","MAR","WGS84","mean sea level","","","",""
"S4-ALL","Total runoff of North Unit Watershed S4 weirs (sum of S4-N and S4-S weirs)","gs_lat","Latitude","47.56270,47.55805","MAR","WGS84","mean sea level","","","",""
"S4-ALL","Total runoff of North Unit Watershed S4 weirs (sum of S4-N and S4-S weirs)","gs_long","Longitude","-93.48707,-93.48258","MAR","WGS84","mean sea level","","","",""
"S4-BOG","Bog runoff component of North Unit Watershed S4 weirs (sum of S4-N and S4-S weirs)","gs_elev","Elevation","","MAR","WGS84","mean sea level","","","",""
"S4-BOG","Bog runoff component of North Unit Watershed S4 weirs (sum of S4-N and S4-S weirs)","gs_lat","Latitude","","MAR","WGS84","mean sea level","","","",""
"S4-BOG","Bog runoff component of North Unit Watershed S4 weirs (sum of S4-N and S4-S weirs)","gs_long","Longitude","","MAR","WGS84","mean sea level","","","",""
"S4-UP","Upland runoff component of North Unit Watershed S4 weirs (sum of S4-N and S4-S weirs)","gs_elev","Elevation","","MAR","WGS84","mean sea level","","","",""
"S4-UP","Upland runoff component of North Unit Watershed S4 weirs (sum of S4-N and S4-S weirs)","gs_lat","Latitude","","MAR","WGS84","mean sea level","","","",""
"S4-UP","Upland runoff component of North Unit Watershed S4 weirs (sum of S4-N and S4-S weirs)","gs_long","Longitude","","MAR","WGS84","mean sea level","","","",""
"S5-ALL","Total runoff of North Unit Watershed S5 weir","gs_elev","Elevation","","MAR","WGS84","mean sea level","","","",""
"S5-ALL","Total runoff of North Unit Watershed S5 weir","gs_lat","Latitude","47.56427","MAR","WGS84","mean sea level","","","",""
"S5-ALL","Total runoff of North Unit Watershed S5 weir","gs_long","Longitude","-93.47272","MAR","WGS84","mean sea level","","","",""
"S5-UP-MS","North Unit, Upland, Watershed S5","ms_elev","Elevation","433","MAR","WGS84","mean sea level","","","",""
"S5-UP-MS","North Unit, Upland, Watershed S5","ms_lat","Latitude","47.56507","MAR","WGS84","mean sea level","","","",""
"S5-UP-MS","North Unit, Upland, Watershed S5","ms_long","Longitude","-93.47678","MAR","WGS84","mean sea level","","","",""
"S6-ALL","Total runoff Watershed S6 weir","gs_elev","Elevation","422.61","MAR","WGS84","mean sea level","","","",""
"S6-ALL","Total runoff Watershed S6 weir","gs_lat","Latitude","47.51967","MAR","WGS84","mean sea level","","","",""
"S6-ALL","Total runoff Watershed S6 weir","gs_long","Longitude","-93.46957","MAR","WGS84","mean sea level","","","",""
"S6-BOG","Bog runoff component of Watershed S6 weir","gs_elev","Elevation"," ","MAR","WGS84","mean sea level","","","",""
"S6-BOG","Bog runoff component of Watershed S6 weir","gs_lat","Latitude","47.51967","MAR","WGS84","mean sea level","","","",""
"S6-BOG","Bog runoff component of Watershed S6 weir","gs_long","Longitude","-93.46007","MAR","WGS84","mean sea level","","","",""
"S6-UP","Upland runoff component of Watershed S6 weir","gs_elev","Elevation"," ","MAR","WGS84","mean sea level","","","",""
"S6-UP","Upland runoff component of Watershed S6 weir","gs_lat","Latitude","47.51967","MAR","WGS84","mean sea level","","","",""
"S6-UP","Upland runoff component of Watershed S6 weir","gs_long","Longitude","-93.46957","MAR","WGS84","mean sea level","","","",""
