"res_site_code","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"Bryson","Tuckasegee River at Bryson City, NC (USGS 03513000)","gs_elev","Elevation","","CWT","WGS84","mean sea level","","","",""
"Bryson","Tuckasegee River at Bryson City, NC (USGS 03513000)","gs_lat","Latitude","","CWT","WGS84","mean sea level","","","",""
"Bryson","Tuckasegee River at Bryson City, NC (USGS 03513000)","gs_long","Longitude","","CWT","WGS84","mean sea level","","","",""
"Catalooche","Cataloochee Creek near Cataloochee, NC (USGS 03460000)","gs_elev","Elevation","","CWT","WGS84","mean sea level","","","",""
"Catalooche","Cataloochee Creek near Cataloochee, NC (USGS 03460000)","gs_lat","Latitude","","CWT","WGS84","mean sea level","","","",""
"Catalooche","Cataloochee Creek near Cataloochee, NC (USGS 03460000)","gs_long","Longitude","","CWT","WGS84","mean sea level","","","",""
"CS01","Climate Station 01","ms_elev","Elevation","685m","CWT","WGS84","mean sea level","","","",""
"CS01","Climate Station 01","ms_lat","Latitude"," ","CWT","WGS84","mean sea level","","","",""
"CS01","Climate Station 01","ms_long","Longitude"," ","CWT","WGS84","mean sea level","","","",""
"Logan","Second Broad River Near Logan, NC (USGS 02150495)","gs_elev","Elevation","","CWT","WGS84","mean sea level","","","",""
"Logan","Second Broad River Near Logan, NC (USGS 02150495)","gs_lat","Latitude","","CWT","WGS84","mean sea level","","","",""
"Logan","Second Broad River Near Logan, NC (USGS 02150495)","gs_long","Longitude","","CWT","WGS84","mean sea level","","","",""
"Needmore","Little Tennessee River at Needmore, NC (USGS 03503000)","gs_elev","Elevation","","CWT","WGS84","mean sea level","","","",""
"Needmore","Little Tennessee River at Needmore, NC (USGS 03503000)","gs_lat","Latitude","","CWT","WGS84","mean sea level","","","",""
"Needmore","Little Tennessee River at Needmore, NC (USGS 03503000)","gs_long","Longitude","","CWT","WGS84","mean sea level","","","",""
"Prentiss","Little Tennessee River near Prentiss, NC (USGS 03500000)","gs_elev","Elevation","","CWT","WGS84","mean sea level","","","",""
"Prentiss","Little Tennessee River near Prentiss, NC (USGS 03500000)","gs_lat","Latitude","","CWT","WGS84","mean sea level","","","",""
"Prentiss","Little Tennessee River near Prentiss, NC (USGS 03500000)","gs_long","Longitude","","CWT","WGS84","mean sea level","","","",""
"WS18","Flume at Watershed 18","gs_elev","Elevation","726m","CWT","WGS84","mean sea level","","","",""
"WS18","Flume at Watershed 18","gs_lat","Latitude"," ","CWT","WGS84","mean sea level","","","",""
"WS18","Flume at Watershed 18","gs_long","Longitude"," ","CWT","WGS84","mean sea level","","","",""
"WS27","Flume at Watershed 27","gs_elev","Elevation","1061m","CWT","WGS84","mean sea level","","","",""
"WS27","Flume at Watershed 27","gs_lat","Latitude"," ","CWT","WGS84","mean sea level","","","",""
"WS27","Flume at Watershed 27","gs_long","Longitude"," ","CWT","WGS84","mean sea level","","","",""
