"res_site_code","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"BUBBLING","Bubbling Creek Flume","gs_elev","Elevation","2051","TEN","WGS84","mean sea level","","","",""
"BUBBLING","Bubbling Creek Flume","gs_lat","Latitude","46.92223","TEN","WGS84","mean sea level","","","",""
"BUBBLING","Bubbling Creek Flume","gs_long","Longitude","-110.89540","TEN","WGS84","mean sea level","","","",""
"LONESOME","Lonesome Creek Flume","gs_elev","Elevation","2082","TEN","WGS84","mean sea level","","","",""
"LONESOME","Lonesome Creek Flume","gs_lat","Latitude","46.91365","TEN","WGS84","mean sea level","","","",""
"LONESOME","Lonesome Creek Flume","gs_long","Longitude","-110.93870","TEN","WGS84","mean sea level","","","",""
"LSTRINGER","Lower Stringer Creek Flume","gs_elev","Elevation","2008","TEN","WGS84","mean sea level","","","",""
"LSTRINGER","Lower Stringer Creek Flume","gs_lat","Latitude","46.92694","TEN","WGS84","mean sea level","","","",""
"LSTRINGER","Lower Stringer Creek Flume","gs_long","Longitude","-110.90100","TEN","WGS84","mean sea level","","","",""
"LSUN","Lower Sun Creek Flume","gs_elev","Elevation","2138","TEN","WGS84","mean sea level","","","",""
"LSUN","Lower Sun Creek Flume","gs_lat","Latitude","46.91980","TEN","WGS84","mean sea level","","","",""
"LSUN","Lower Sun Creek Flume","gs_long","Longitude","-110.87800","TEN","WGS84","mean sea level","","","",""
"LTFOOT","Lower Tenderfoot Creek Flume","gs_elev","Elevation","1998","TEN","WGS84","mean sea level","","","",""
"LTFOOT","Lower Tenderfoot Creek Flume","gs_lat","Latitude","46.92693","TEN","WGS84","mean sea level","","","",""
"LTFOOT","Lower Tenderfoot Creek Flume","gs_long","Longitude","-110.90190","TEN","WGS84","mean sea level","","","",""
"ONION","Onion Park Met Station","ms_elev","Elevation","2259","TEN","WGS84","mean sea level","","","",""
"ONION","Onion Park Met Station","ms_lat","Latitude","46.913450","TEN","WGS84","mean sea level","","","",""
"ONION","Onion Park Met Station","ms_long","Longitude","-110.852700","TEN","WGS84","mean sea level","","","",""
"PACK","Pack Creek Flume","gs_elev","Elevation","1960","TEN","WGS84","mean sea level","","","",""
"PACK","Pack Creek Flume","gs_lat","Latitude","46.92719","TEN","WGS84","mean sea level","","","",""
"PACK","Pack Creek Flume","gs_long","Longitude","-110.91010","TEN","WGS84","mean sea level","","","",""
"PASSIONATE","Passionate Creek Flume","gs_elev","Elevation","1925","TEN","WGS84","mean sea level","","","",""
"PASSIONATE","Passionate Creek Flume","gs_lat","Latitude","46.93003","TEN","WGS84","mean sea level","","","",""
"PASSIONATE","Passionate Creek Flume","gs_long","Longitude","-110.92200","TEN","WGS84","mean sea level","","","",""
"SPRPARK","Spring Park Creek Flume","gs_elev","Elevation","2115","TEN","WGS84","mean sea level","","","",""
"SPRPARK","Spring Park Creek Flume","gs_lat","Latitude","46.92364","TEN","WGS84","mean sea level","","","",""
"SPRPARK","Spring Park Creek Flume","gs_long","Longitude","-110.88220","TEN","WGS84","mean sea level","","","",""
"STRINGER","Stringer Creek Met Station","ms_elev","Elevation","2008","TEN","WGS84","mean sea level","","","",""
"STRINGER","Stringer Creek Met Station","ms_lat","Latitude","46.926950","TEN","WGS84","mean sea level","","","",""
"STRINGER","Stringer Creek Met Station","ms_long","Longitude","-110.901300","TEN","WGS84","mean sea level","","","",""
"USTRINGER","Upper Stringer Creek Flume","gs_elev","Elevation","2100","TEN","WGS84","mean sea level","","","",""
"USTRINGER","Upper Stringer Creek Flume","gs_lat","Latitude","46.93484","TEN","WGS84","mean sea level","","","",""
"USTRINGER","Upper Stringer Creek Flume","gs_long","Longitude","-110.89270","TEN","WGS84","mean sea level","","","",""
"USUN","Upper Sun Creek Flume","gs_elev","Elevation","2208","TEN","WGS84","mean sea level","","","",""
"USUN","Upper Sun Creek Flume","gs_lat","Latitude","46.90951","TEN","WGS84","mean sea level","","","",""
"USUN","Upper Sun Creek Flume","gs_long","Longitude","-110.87890","TEN","WGS84","mean sea level","","","",""
"UTFOOT","Upper Tenderfoot Creek Flume","gs_elev","Elevation","2159","TEN","WGS84","mean sea level","","","",""
"UTFOOT","Upper Tenderfoot Creek Flume","gs_lat","Latitude","46.92016","TEN","WGS84","mean sea level","","","",""
"UTFOOT","Upper Tenderfoot Creek Flume","gs_long","Longitude","-110.87340","TEN","WGS84","mean sea level","","","",""
