"res_site_code","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"Alt_Baxley","Alt_Baxley  (USGS 02225000) ","gs_elev","Elevation","18.7","GCE","WGS84","mean sea level","","","",""
"Alt_Baxley","Alt_Baxley  (USGS 02225000) ","gs_lat","Latitude","31.939080","GCE","WGS84","mean sea level","","","",""
"Alt_Baxley","Alt_Baxley  (USGS 02225000) ","gs_long","Longitude","-82.353460","GCE","WGS84","mean sea level","","","",""
"Baxley ","Baxley (NWS)","gs_elev","Elevation","","GCE","WGS84","mean sea level","","","",""
"Baxley ","Baxley (NWS)","gs_lat","Latitude","","GCE","WGS84","mean sea level","","","",""
"Baxley ","Baxley (NWS)","gs_long","Longitude","","GCE","WGS84","mean sea level","","","",""
"Baxley ","Baxley (NWS)","ms_elev","Elevation","64.9","GCE","WGS84","mean sea level","","","",""
"Baxley ","Baxley (NWS)","ms_lat","Latitude","31.841390","GCE","WGS84","mean sea level","","","",""
"Baxley ","Baxley (NWS)","ms_long","Longitude","-82.375560","GCE","WGS84","mean sea level","","","",""
"Brunswick ","Brunswick  (NWS) ","gs_elev","Elevation","","GCE","WGS84","mean sea level","","","",""
"Brunswick ","Brunswick  (NWS) ","gs_lat","Latitude","","GCE","WGS84","mean sea level","","","",""
"Brunswick ","Brunswick  (NWS) ","gs_long","Longitude","","GCE","WGS84","mean sea level","","","",""
"Brunswick ","Brunswick  (NWS) ","ms_elev","Elevation","4","GCE","WGS84","mean sea level","","","",""
"Brunswick ","Brunswick  (NWS) ","ms_lat","Latitude","31.168100","GCE","WGS84","mean sea level","","","",""
"Brunswick ","Brunswick  (NWS) ","ms_long","Longitude","-81.502200","GCE","WGS84","mean sea level","","","",""
"DOCTORTOWN","Doctor Town (USGS)","gs_elev","Elevation","7.5","GCE","WGS84","mean sea level","","","",""
"DOCTORTOWN","Doctor Town (USGS)","gs_lat","Latitude","31.654444","GCE","WGS84","mean sea level","","","",""
"DOCTORTOWN","Doctor Town (USGS)","gs_long","Longitude","-81.828056","GCE","WGS84","mean sea level","","","",""
"DOCTORTOWN","Doctor Town (USGS)","ms_elev","Elevation","","GCE","WGS84","mean sea level","","","",""
"DOCTORTOWN","Doctor Town (USGS)","ms_lat","Latitude","","GCE","WGS84","mean sea level","","","",""
"DOCTORTOWN","Doctor Town (USGS)","ms_long","Longitude","","GCE","WGS84","mean sea level","","","",""
"Glennville","Glennville  (NWS)","ms_elev","Elevation","61","GCE","WGS84","mean sea level","","","",""
"Glennville","Glennville  (NWS)","ms_lat","Latitude","31.988000","GCE","WGS84","mean sea level","","","",""
"Glennville","Glennville  (NWS)","ms_long","Longitude","-81.952200","GCE","WGS84","mean sea level","","","",""
"HUDSONCRK","Hudson Creek","ms_elev","Elevation","4m","GCE","WGS84","mean sea level","","","",""
"HUDSONCRK","Hudson Creek","ms_lat","Latitude","31.453333","GCE","WGS84","mean sea level","","","",""
"HUDSONCRK","Hudson Creek","ms_long","Longitude","-81.363056","GCE","WGS84","mean sea level","","","",""
"Jesup ","Jesup  (NWS)","ms_elev","Elevation","30.5","GCE","WGS84","mean sea level","","","",""
"Jesup ","Jesup  (NWS)","ms_lat","Latitude","31.507500","GCE","WGS84","mean sea level","","","",""
"Jesup ","Jesup  (NWS)","ms_long","Longitude","-81.862800","GCE","WGS84","mean sea level","","","",""
"ML","Marsh landiing","ms_elev","Elevation","10","GCE","WGS84","mean sea level","","","",""
"ML","Marsh landiing","ms_lat","Latitude","31.417778","GCE","WGS84","mean sea level","","","",""
"ML","Marsh landiing","ms_long","Longitude","-81.296111","GCE","WGS84","mean sea level","","","",""
"Ocmulgee","Ocmulgee (USGS 02215500) ","gs_elev","Elevation","26.7","GCE","WGS84","mean sea level","","","",""
"Ocmulgee","Ocmulgee (USGS 02215500) ","gs_lat","Latitude","31.920180","GCE","WGS84","mean sea level","","","",""
"Ocmulgee","Ocmulgee (USGS 02215500) ","gs_long","Longitude","-82.674030","GCE","WGS84","mean sea level","","","",""
"Oconee ","Oconee  (USGS 02223500) ","gs_elev","Elevation","45.4","GCE","WGS84","mean sea level","","","",""
"Oconee ","Oconee  (USGS 02223500) ","gs_lat","Latitude","32.544610","GCE","WGS84","mean sea level","","","",""
"Oconee ","Oconee  (USGS 02223500) ","gs_long","Longitude","-82.894590","GCE","WGS84","mean sea level","","","",""
"Ohoopee","Ohoopee  (USGS 02225500) ","gs_elev","Elevation","22.5","GCE","WGS84","mean sea level","","","",""
"Ohoopee","Ohoopee  (USGS 02225500) ","gs_lat","Latitude","32.078530","GCE","WGS84","mean sea level","","","",""
"Ohoopee","Ohoopee  (USGS 02225500) ","gs_long","Longitude","-82.177340","GCE","WGS84","mean sea level","","","",""
"UGAMI","University of Georiga Marine Institute Met Station","gs_elev","Elevation","","GCE","WGS84","mean sea level","","","",""
"UGAMI","University of Georiga Marine Institute Met Station","gs_lat","Latitude","","GCE","WGS84","mean sea level","","","",""
"UGAMI","University of Georiga Marine Institute Met Station","gs_long","Longitude","","GCE","WGS84","mean sea level","","","",""
"UGAMI","University of Georiga Marine Institute Met Station","ms_elev","Elevation","3-4m above mean low water","GCE","WGS84","mean sea level","","","",""
"UGAMI","University of Georiga Marine Institute Met Station","ms_lat","Latitude","31.3972","GCE","WGS84","mean sea level","","","",""
"UGAMI","University of Georiga Marine Institute Met Station","ms_long","Longitude","-81.2811","GCE","WGS84","mean sea level","","","",""
