"","res_site_name","descriptor_type_code","descriptor_type_name","descriptor_value","raw_parent_code","lat_long_ref","elevation_ref","local_x","local_y","position_accuracy","SiteType"
"HOG2","Hog Island Dune","ms_elev","Elevation","10","VCR","WGS84","mean sea level","","","",""
"HOG2","Hog Island Dune","ms_lat","Latitude","37.45055340","VCR","WGS84","mean sea level","","","",""
"HOG2","Hog Island Dune","ms_long","Longitude","-75.66683694","VCR","WGS84","mean sea level","","","",""
"HOGI","Hog Island","ms_elev","Elevation","1.5","VCR","WGS84","mean sea level","","","",""
"HOGI","Hog Island","ms_lat","Latitude","37.2938","VCR","WGS84","mean sea level","","","",""
"HOGI","Hog Island","ms_long","Longitude","-75.9251","VCR","WGS84","mean sea level","","","",""
"OYSM","Oyster Virginia","ms_elev","Elevation","","VCR","WGS84","mean sea level","","","",""
"OYSM","Oyster Virginia","ms_lat","Latitude","","VCR","WGS84","mean sea level","","","",""
"OYSM","Oyster Virginia","ms_long","Longitude","","VCR","WGS84","mean sea level","","","",""
"PHCK","Phillips Creek","ms_elev","Elevation","1","VCR","WGS84","mean sea level","","","",""
"PHCK","Phillips Creek","ms_lat","Latitude","37.459389","VCR","WGS84","mean sea level","","","",""
"PHCK","Phillips Creek","ms_long","Longitude","-75.83239","VCR","WGS84","mean sea level","","","",""
"PHCK2","Phillips Creek Logger 2","ms_elev","Elevation"," 1.5","VCR","WGS84","mean sea level","","","",""
"PHCK2","Phillips Creek Logger 2","ms_lat","Latitude"," 37.45938967","VCR","WGS84","mean sea level","","","",""
"PHCK2","Phillips Creek Logger 2","ms_long","Longitude"," -75.83239","VCR","WGS84","mean sea level","","","",""
